seed,checkpoint_epoch,checkpoint_fraction,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
2,240,1.0,np_fixed,0.3,layer_3,Layer 3,2,0.17722113423757643,0.5047464296221733,0.01127891382202506,0.00011499322135932744
2,240,1.0,wp,0.225,all,All layers,-1,0.03397954994141798,0.3852559933438897,0.05131982080638409,0.0002483977223164402
2,240,1.0,wp,0.225,layer_1,Layer 1,0,0.013126027044327061,0.21059340704232454,0.05076134391129017,0.0002085484993585851
2,240,1.0,wp,0.225,layer_2,Layer 2,1,0.021619987476651656,0.2691473394515924,0.05080517288297415,0.0002588159823062597
2,240,1.0,wp,0.225,layer_3,Layer 3,2,0.09574964550138249,0.5908086579293013,0.059904795140028,0.0004838453714910429
3,1,0.004166666666666667,np,0.15,all,All layers,-1,0.09724460372932905,0.7190427165478468,0.009974190150387585,4.567568339552963e-05
3,1,0.004166666666666667,np,0.15,layer_1,Layer 1,0,0.0095983471045353,0.1341291621720302,0.009577434975653887,3.975227014052507e-05
3,1,0.004166666666666667,np,0.15,layer_2,Layer 2,1,0.029403472929167642,0.38730892655439675,0.009608350577764213,4.846763863497472e-05
3,1,0.004166666666666667,np,0.15,layer_3,Layer 3,2,0.2729805720712951,0.9801359474658966,0.016074953135102987,7.07273601108227e-05
3,1,0.004166666666666667,np_fan_in,0.1,all,All layers,-1,0.09162432734356116,0.7284800186753273,0.010205011698417366,4.205785194244527e-05
3,1,0.004166666666666667,np_fan_in,0.1,layer_1,Layer 1,0,0.010101099224126149,0.15376734849996865,0.010819427203387022,4.421011249178264e-05
3,1,0.004166666666666667,np_fan_in,0.1,layer_2,Layer 2,1,0.024247711555921113,0.2629146780818701,0.008900025859475136,3.623499833338428e-05
3,1,0.004166666666666667,np_fan_in,0.1,layer_3,Layer 3,2,0.2603825027991358,0.9711110070347786,0.015729571226984262,7.142260295722735e-05
3,1,0.004166666666666667,np_fixed,0.3,all,All layers,-1,0.09383745086612787,0.7756243795156479,0.010187199921347201,4.258238686816185e-05
3,1,0.004166666666666667,np_fixed,0.3,layer_1,Layer 1,0,0.006248285561760743,0.088172338437289,0.010697280755266547,4.611755139194429e-05
3,1,0.004166666666666667,np_fixed,0.3,layer_2,Layer 2,1,0.03089415739159449,0.39534482453018427,0.008882882248144597,3.8556384083676676e-05
3,1,0.004166666666666667,np_fixed,0.3,layer_3,Layer 3,2,0.2517120841507373,0.9946388751268387,0.016541093587875366,4.65090887473707e-05
3,1,0.004166666666666667,wp,0.225,all,All layers,-1,0.037751741428140424,0.4689740836620331,0.0699876919388771,0.000322436777423718
3,1,0.004166666666666667,wp,0.225,layer_1,Layer 1,0,-0.0013753277473976292,0.011178131680935621,0.06948343012481928,0.0002905715282395249
3,1,0.004166666666666667,wp,0.225,layer_2,Layer 2,1,0.009950739793535016,0.14985384103783872,0.06952649215236306,0.00034423395845806226
3,1,0.004166666666666667,wp,0.225,layer_3,Layer 3,2,0.14073345594945674,0.8760672360658646,0.07771135680377483,0.000402981242586975
3,120,0.5,np,0.15,all,All layers,-1,0.0929357816603518,0.7233162485063076,0.005207204289035872,3.545515733094362e-05
3,120,0.5,np,0.15,layer_1,Layer 1,0,0.052599429004722725,0.6092568226158619,0.004864596587140113,2.424848332793772e-05
3,120,0.5,np,0.15,layer_2,Layer 2,1,0.06409510238455975,0.5827403254806995,0.004983873717719689,3.2116748343469226e-05
3,120,0.5,np,0.15,layer_3,Layer 3,2,0.17125034239058246,0.8392779268324375,0.009734708000905812,0.00015181581511569675
3,120,0.5,np_fan_in,0.1,all,All layers,-1,0.09575722736766465,0.7337096207775176,0.005991662910673767,3.814306205640605e-05
3,120,0.5,np_fan_in,0.1,layer_1,Layer 1,0,0.04821742903860316,0.6114835292100906,0.006156740710139275,2.513450783681037e-05
3,120,0.5,np_fan_in,0.1,layer_2,Layer 2,1,0.0714568417760385,0.6765954298898578,0.005315036803949624,3.0463957500614924e-05
3,120,0.5,np_fan_in,0.1,layer_3,Layer 3,2,0.18647655449403827,0.6482373289763927,0.010084046283736825,0.00020364434203656856
3,120,0.5,np_fixed,0.3,all,All layers,-1,0.0849124248228918,0.7096089422702789,0.006134351657237858,3.1077781386557035e-05
3,120,0.5,np_fixed,0.3,layer_1,Layer 1,0,0.047283149788828874,0.5715739168226719,0.0061551922699436545,2.7076559490524232e-05
3,120,0.5,np_fixed,0.3,layer_2,Layer 2,1,0.04868305465522174,0.5475700693204999,0.005456728336866945,2.4155861751751218e-05
3,120,0.5,np_fixed,0.3,layer_3,Layer 3,2,0.17345115222099897,0.671017587184906,0.011388612620066851,0.00011846291226902395
3,120,0.5,wp,0.225,all,All layers,-1,0.0348328722840759,0.39155360450968146,0.048776973970234394,0.00027836329900310375
3,120,0.5,wp,0.225,layer_1,Layer 1,0,0.016634852532964334,0.26361766643822193,0.04809552151709795,0.00019822740978270303
3,120,0.5,wp,0.225,layer_2,Layer 2,1,0.024920451784322492,0.30474285257514566,0.048433370888233185,0.0002950297493953258
3,120,0.5,wp,0.225,layer_3,Layer 3,2,0.09562376267883035,0.455778144299984,0.05697741638869047,0.0007861186204536352
