seed,checkpoint_epoch,batch_index,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
3,1,1,np_fan_in,0.00875,all,All parameters,-1,0.016105784345854773,0.15642739832401276,1.8976094697791268e-05,2.0063696126726427e-07
3,1,1,np_fixed,0.12,all,All parameters,-1,0.009308800020080525,0.09379805624485016,5.756712522270391e-05,5.864168883817911e-07
3,1,1,wp,0.0275,all,All parameters,-1,0.0006748272148979595,0.006528190802782774,0.01056176413781941,0.00010566060518613085
3,1,2,np,0.0325,all,All parameters,-1,0.010919343887580908,0.10541721433401108,1.237683160979941e-05,1.374500300244108e-07
3,1,2,np_fan_in,0.00875,all,All parameters,-1,0.01582702785730362,0.15431414544582367,1.5311622455556062e-05,1.603220027845964e-07
3,1,2,np_fixed,0.12,all,All parameters,-1,0.011866206497361418,0.11946050822734833,4.7454965169890784e-05,4.770664077113906e-07
3,1,2,wp,0.0275,all,All parameters,-1,0.0005181233115217765,0.005270243622362614,0.008562582363374531,8.536297536920756e-05
3,1,3,np,0.0325,all,All parameters,-1,0.02376129142707214,0.22105607390403748,1.3859261271136347e-05,1.554660826741383e-07
3,1,3,np_fan_in,0.00875,all,All parameters,-1,0.014645042452029884,0.13834251463413239,1.70891589459643e-05,1.9464428646642773e-07
3,1,3,np_fixed,0.12,all,All parameters,-1,0.011513111117237714,0.11538752913475037,5.108074001327623e-05,5.158964881957218e-07
3,1,3,wp,0.0275,all,All parameters,-1,0.0007342308862098435,0.007299462798982859,0.009687610967084766,9.711121674627066e-05
3,1,4,np,0.0325,all,All parameters,-1,0.020171343649271877,0.18931786715984344,1.428725443474832e-05,1.6243718903297122e-07
3,1,4,np_fan_in,0.00875,all,All parameters,-1,0.020765004966087873,0.20189905166625977,1.7141909647762077e-05,1.7818790354340308e-07
3,1,4,np_fixed,0.12,all,All parameters,-1,0.014107315097808168,0.14104263484477997,5.3893191616225525e-05,5.381643291002547e-07
3,1,4,wp,0.0275,all,All parameters,-1,0.0007437097132969939,0.0075879707001149654,0.009763481845147907,9.744091221364215e-05
3,1,5,np,0.0325,all,All parameters,-1,0.0393597896094434,0.3494740128517151,1.4410633784791571e-05,1.6282582748772256e-07
3,1,5,np_fan_in,0.00875,all,All parameters,-1,0.032056100071640684,0.2986390292644501,1.882240162558446e-05,1.9715463395186816e-07
3,1,5,np_fixed,0.12,all,All parameters,-1,0.01913799960326287,0.187526136636734,5.713003534765448e-05,5.771348696725909e-07
3,1,5,wp,0.0275,all,All parameters,-1,0.0015530372338571395,0.015667179599404335,0.009738867403939366,9.737058280734345e-05
3,1,6,np,0.0325,all,All parameters,-1,0.025069977980310795,0.23401257395744324,1.4875741790092434e-05,1.6579883777012583e-07
3,1,6,np_fan_in,0.00875,all,All parameters,-1,0.023302719060884557,0.22198928892612457,2.034807059317245e-05,2.1717889353567443e-07
3,1,6,np_fixed,0.12,all,All parameters,-1,0.012599050161079504,0.12560541927814484,6.406692082236987e-05,6.280985189732746e-07
3,1,6,wp,0.0275,all,All parameters,-1,0.0009674660856671835,0.009877471253275871,0.011593026332557202,0.0001152016848209314
3,1,7,np,0.0325,all,All parameters,-1,0.02919604467955651,0.26421043276786804,1.3785870496576536e-05,1.5839226819025498e-07
3,1,7,np_fan_in,0.00875,all,All parameters,-1,0.025377983604557813,0.24479787051677704,1.827383745876432e-05,1.9282789764929475e-07
3,1,7,np_fixed,0.12,all,All parameters,-1,0.017231387276842723,0.1687525510787964,5.520273836737033e-05,5.787975965176884e-07
3,1,7,wp,0.0275,all,All parameters,-1,0.0013065357619962015,0.013228599913418293,0.0098377295024693,9.807501191971824e-05
3,1,8,np,0.0325,all,All parameters,-1,0.023175249155865458,0.21257580816745758,1.5799189195604413e-05,1.8147582636629522e-07
3,1,8,np_fan_in,0.00875,all,All parameters,-1,0.020157557069032918,0.19783371686935425,1.842353938627639e-05,1.911054710035387e-07
3,1,8,np_fixed,0.12,all,All parameters,-1,0.011884652637527325,0.11786701530218124,5.9365747729316355e-05,6.019199645379558e-07
3,1,8,wp,0.0275,all,All parameters,-1,0.0008243565880547976,0.008218305185437202,0.011668838309124113,0.00011661637836368755
3,1,9,np,0.0325,all,All parameters,-1,0.013406852249754592,0.11917664110660553,1.6020390512494485e-05,2.065901725245567e-07
3,1,9,np_fan_in,0.00875,all,All parameters,-1,0.017430252495978495,0.1739424169063568,2.08764805302053e-05,2.172609470108e-07
3,1,9,np_fixed,0.12,all,All parameters,-1,0.011591186688747257,0.1188344657421112,6.533934800245333e-05,6.381409889399947e-07
3,1,9,wp,0.0275,all,All parameters,-1,0.0006674894199386472,0.006803638767451048,0.010703065367415547,0.00010675050725694746
3,1,10,np,0.0325,all,All parameters,-1,0.014446592487656744,0.13425317406654358,1.8018043838310405e-05,2.2567297719433554e-07
3,1,10,np_fan_in,0.00875,all,All parameters,-1,0.01927023496304173,0.18643704056739807,2.470809846272459e-05,2.7044575290346984e-07
3,1,10,np_fixed,0.12,all,All parameters,-1,0.01647769537390559,0.1623515635728836,8.215189584007021e-05,8.521130325789272e-07
3,1,10,wp,0.0275,all,All parameters,-1,0.0009320845888714757,0.009301912039518356,0.012423419617116451,0.00012460372818168253
3,1,11,np,0.0325,all,All parameters,-1,0.016899489084316884,0.16335363686084747,1.2356280303720268e-05,1.3587390412794775e-07
3,1,11,np_fan_in,0.00875,all,All parameters,-1,0.018955714380645076,0.18113544583320618,1.560744841299311e-05,1.6657111245876877e-07
3,1,11,np_fixed,0.12,all,All parameters,-1,0.010797893134877086,0.10331039130687714,4.9662919154798145e-05,5.211521170167543e-07
3,1,11,wp,0.0275,all,All parameters,-1,0.0006047243163266103,0.006067672278732061,0.00846449205186218,8.505870209774002e-05
3,1,12,np,0.0325,all,All parameters,-1,0.028564301056903788,0.26643532514572144,1.3530655787690193e-05,1.467373635932745e-07
