seed,method,method_label,epoch,train_loss,test_loss,train_score,test_score,train_acc,test_acc
0,bp,BP,50,0.0502827211022377,0.06237001531124115,0.684,0.5493,0.684,0.5493
0,bp,BP,51,0.05001384937763214,0.0625718248963356,0.6955,0.5473,0.6955,0.5473
0,bp,BP,52,0.04935904270410538,0.062124766409397125,0.6965,0.55,0.6965,0.55
0,bp,BP,53,0.04911338797211647,0.06243979475498199,0.6985,0.55,0.6985,0.55
0,bp,BP,54,0.048817557245492936,0.06259270408153533,0.705,0.5459,0.705,0.5459
0,bp,BP,55,0.04832142686843872,0.06238961627483368,0.71075,0.5473,0.71075,0.5473
0,bp,BP,56,0.0478357564508915,0.06225362997055054,0.7095,0.551,0.7095,0.551
0,bp,BP,57,0.047601533055305484,0.06230583868026733,0.71175,0.5499,0.71175,0.5499
0,bp,BP,58,0.046849215269088744,0.062119499099254606,0.71975,0.5536,0.71975,0.5536
0,bp,BP,59,0.046618243128061294,0.06225294724702835,0.718,0.5495,0.718,0.5495
0,bp,BP,60,0.04605147784948349,0.06206347650289536,0.7295,0.5534,0.7295,0.5534
0,bp,BP,61,0.04582617095112801,0.062389026045799253,0.73275,0.5495,0.73275,0.5495
0,bp,BP,62,0.04559579077363014,0.06247059038877487,0.7345,0.5518,0.7345,0.5518
0,bp,BP,63,0.04531742930412293,0.06281131721735,0.73875,0.5448,0.73875,0.5448
0,bp,BP,64,0.044636965721845626,0.06227805330753326,0.742,0.5531,0.742,0.5531
0,bp,BP,65,0.04454143992066383,0.06253988711833953,0.749,0.5494,0.749,0.5494
0,bp,BP,66,0.0439142227768898,0.06250116919279099,0.74925,0.5554,0.74925,0.5554
