seed,checkpoint_epoch,checkpoint_fraction,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
1,50,1.0,np_fan_in,0.0525,layer_2,Layer 2,1,0.042848894797201165,0.3431337703323851,0.004079761359697351,4.1563277661155625e-05
1,50,1.0,np_fan_in,0.0525,layer_3,Layer 3,2,0.24531821201477072,0.8184398676340396,0.012703761236312297,0.00016842263984681967
1,50,1.0,np_fixed,0.45,all,All layers,-1,0.04222924395602158,0.3327799290561905,0.018543932479448043,0.00019498222441493104
1,50,1.0,np_fixed,0.45,layer_1,Layer 1,0,0.011161683017816988,0.11360189870286447,0.0992929361330775,0.001070607869993322
1,50,1.0,np_fixed,0.45,layer_2,Layer 2,1,0.032499149603020465,0.2780142694568405,0.007333360472694039,7.318221583913188e-05
1,50,1.0,np_fixed,0.45,layer_3,Layer 3,2,0.24890484908144347,0.766040746982281,0.01133823381163753,0.00014667586905348938
1,50,1.0,wp,0.1,all,All layers,-1,0.005599299302361592,0.05401067864149809,0.5282832815096928,0.005272467681564964
1,50,1.0,wp,0.1,layer_1,Layer 1,0,0.0026974272600841344,0.02684145466908096,0.5277072003254524,0.005312198747952397
1,50,1.0,wp,0.1,layer_2,Layer 2,1,0.003693099646711619,0.03572843646308264,0.5283147165408502,0.0052656233812180845
1,50,1.0,wp,0.1,layer_3,Layer 3,2,0.04821761442204633,0.3570771000419672,0.534499416901515,0.005437629648412649
2,1,0.02,np,0.1,all,All layers,-1,0.041996483958367976,0.34099621388774654,0.02308285250686682,0.0002272648356245974
2,1,0.02,np,0.1,layer_1,Layer 1,0,0.0017203561705314663,0.017749422552207343,0.12572698879700442,0.001242590779796816
2,1,0.02,np,0.1,layer_2,Layer 2,1,0.018842311589382005,0.18133365471775714,0.008761667202298458,8.534646594153646e-05
2,1,0.02,np,0.1,layer_3,Layer 3,2,0.3496032509430549,0.9186504455713126,0.022923752378958922,0.00025838157243225185
2,1,0.02,np_fan_in,0.0525,all,All layers,-1,0.02400709241044279,0.20969606732519774,0.09076708962137882,0.0009168699764324209
