seed,checkpoint_epoch,method,cosine,variance,sigma
3,1,np_fixed,0.7756243795156479,0.010187199921347201,0.3
3,1,wp,0.4689740836620331,0.0699876919388771,0.225
3,120,np,0.7233162485063076,0.005207204289035872,0.15
3,120,np_fan_in,0.7337096207775176,0.005991662910673767,0.1
3,120,np_fixed,0.7096089422702789,0.006134351657237858,0.3
3,120,wp,0.39155360450968146,0.048776973970234394,0.225
3,240,np,0.6332666128873825,0.004997031792299822,0.15
3,240,np_fan_in,0.6545029804110527,0.006133497983682901,0.1
3,240,np_fixed,0.6519717238843441,0.006111806491389871,0.3
3,240,wp,0.22776153776794672,0.04869645228609443,0.225
4,1,np,0.7641335502266884,0.01023069059010595,0.15
4,1,np_fan_in,0.6852675309637561,0.009848782909102738,0.1
4,1,np_fixed,0.8097108900547028,0.009799879509955645,0.3
4,1,wp,0.41219898872077465,0.07743422593921423,0.225
4,120,np,0.7588123939931393,0.005620027717668563,0.15
4,120,np_fan_in,0.6803781799972057,0.00614705664338544,0.1
4,120,np_fixed,0.6817797040566802,0.006126774474978447,0.3
4,120,wp,0.3346166368573904,0.05618814844638109,0.225
4,240,np,0.9222659915685654,0.005692624661605805,0.15
4,240,np_fan_in,0.943977952003479,0.006319515116047114,0.1
4,240,np_fixed,0.9401418045163155,0.006228775659110397,0.3
4,240,wp,0.6810615248978138,0.055812735576182604,0.225
5,1,np,0.5678384946659207,0.009635794558562338,0.15
5,1,np_fan_in,0.6066148392856121,0.010097283171489835,0.1
5,1,np_fixed,0.6101534063927829,0.010179270640946925,0.3
5,1,wp,0.2680099280551076,0.0691425814293325,0.225
5,120,np,0.6871135178953409,0.008133859082590789,0.15
5,120,np_fan_in,0.7578501887619495,0.00881983619183302,0.1
5,120,np_fixed,0.7468260750174522,0.008864335250109434,0.3
5,120,wp,0.36128864623606205,0.06227934267371893,0.225
5,240,np,0.8076318576931953,0.005537295714020729,0.15
5,240,np_fan_in,0.7943208999931812,0.006588317279238254,0.1
5,240,np_fixed,0.8271144293248653,0.006655497127212584,0.3
5,240,wp,0.5246147150173783,0.05347151821479201,0.225
6,1,np,0.6926442598924041,0.01050914404913783,0.15
6,1,np_fan_in,0.7798278480768204,0.010217649163678288,0.1
6,1,np_fixed,0.7323179952800274,0.010006339172832668,0.3
6,1,wp,0.4816184062510729,0.0803503068163991,0.225
6,120,np,0.9230867177248001,0.005961714196018875,0.15
6,120,np_fan_in,0.923709511756897,0.006783639080822468,0.1
6,120,np_fixed,0.9435037523508072,0.006635650468524545,0.3
6,120,wp,0.7096009366214275,0.05936971306800842,0.225
6,240,np,0.8452659770846367,0.0057693024864420295,0.15
6,240,np_fan_in,0.8571187108755112,0.00652825681027025,0.1
6,240,np_fixed,0.8702342808246613,0.006549063429702073,0.3
6,240,wp,0.5892016850411892,0.057364632841199636,0.225
7,1,np,0.7171508688479662,0.009586822357960045,0.15
7,1,np_fan_in,0.7159057594835758,0.00987748964689672,0.1
7,1,np_fixed,0.7977550327777863,0.009886245941743255,0.3
7,1,wp,0.3473306565429084,0.06909214844927192,0.225
7,120,np,0.747561439871788,0.005500830942764878,0.15
7,120,np_fan_in,0.7604190930724144,0.006372684263624251,0.1
7,120,np_fixed,0.7933327704668045,0.006250058126170188,0.3
7,120,wp,0.4287512507289648,0.0526342005468905,0.225
7,240,np,0.7038862146437168,0.005346205522073433,0.15
7,240,np_fan_in,0.6972105540335178,0.006471249565947801,0.1
7,240,np_fixed,0.6487910747528076,0.006370375107508153,0.3
7,240,wp,0.3250028041366022,0.052158938720822334,0.225
8,1,np,0.5837799869477749,0.009567288216203451,0.15
8,1,np_fan_in,0.6469469331204891,0.010055893566459417,0.1
8,1,np_fixed,0.6036220118403435,0.009827002533711493,0.3
8,1,wp,0.31956725381314754,0.07113789580762386,0.225
8,120,np,0.7911350205540657,0.005543537758057937,0.15
