seed,condition,condition_label,input_scale,method,method_label,cosine,variance,batch_variance,sigma
3,scaled,"[-5, 5]",5.0,np,IS-NP,0.833659740164876,0.006302683905232698,3.7224964292666605e-05,0.15
3,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5792179250468811,0.06156914805372556,0.00026640292617230443,0.10000000000000002
3,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5744445398449898,0.060775013795743384,0.00026098201760760276,0.3
3,scaled,"[-5, 5]",5.0,wp,WP,0.5170531234083077,0.054704404436051846,0.00028116904650232755,0.225
4,base,"[-1, 1]",1.0,np,IS-NP,0.7835602859656016,0.006831689427296321,3.617233361789355e-05,0.15
4,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.7792160498599211,0.006869824001720796,2.902746045189512e-05,0.10000000000000002
4,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7475572278102239,0.006874078807110588,3.242810074273924e-05,0.3
4,base,"[-1, 1]",1.0,wp,WP,0.4888654709793627,0.06065441823254029,0.00028812257066116825,0.225
4,scaled,"[-5, 5]",5.0,np,IS-NP,0.7886828693250815,0.006845236173830926,4.001530002521273e-05,0.15
4,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5380545730392138,0.054942785296589136,0.00022364632574560042,0.10000000000000002
4,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5656604021787643,0.05536943425734838,0.0002260044854362301,0.3
4,scaled,"[-5, 5]",5.0,wp,WP,0.4413830703124404,0.06350688574214776,0.0003184379474987509,0.225
5,base,"[-1, 1]",1.0,np,IS-NP,0.7331053055822849,0.008051212954645356,3.943101129758967e-05,0.15
5,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.6902787499129772,0.00864583213115111,3.8518112281356785e-05,0.10000000000000002
5,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.6984212355067333,0.008621370187029243,3.7680431963356874e-05,0.3
5,base,"[-1, 1]",1.0,wp,WP,0.37852644951393205,0.06319080976148446,0.000287524414792036,0.225
5,scaled,"[-5, 5]",5.0,np,IS-NP,0.6993496865034103,0.006927573975796501,4.256858460394142e-05,0.15
5,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.4251733689258496,0.061533522636940084,0.00026610858852412395,0.10000000000000002
