seed,condition,condition_label,input_scale,checkpoint_epoch,batch_index,method,method_label,sigma,mean_estimate_cosine,avg_sample_cosine,sample_variance,batch_variance
6,base,"[-1, 1]",1.0,1,1,np_fan_in,Fan-in NP,0.1,0.9702678322792053,0.20805570751448008,0.01675441674888134,5.699590838048607e-05
6,base,"[-1, 1]",1.0,1,1,np_fixed,Vanilla NP,0.3,0.9714453220367432,0.19610749425191898,0.018108714371919632,5.168067218619399e-05
6,base,"[-1, 1]",1.0,1,1,wp,WP,0.225,0.7628086805343628,0.07009502550621012,0.11983803659677505,0.0005213091499172151
6,base,"[-1, 1]",1.0,1,2,np,IS-NP,0.15,0.6018981337547302,0.05503228163743188,0.014155177399516106,9.254977339878678e-05
6,base,"[-1, 1]",1.0,1,2,np_fan_in,Fan-in NP,0.1,0.7946731448173523,0.0704050400495665,0.014036120846867561,4.218755930196494e-05
6,base,"[-1, 1]",1.0,1,2,np_fixed,Vanilla NP,0.3,0.8486652374267578,0.07979400871069325,0.014109179377555847,4.912400618195534e-05
6,base,"[-1, 1]",1.0,1,2,wp,WP,0.225,0.41368579864501953,0.025461028586505563,0.10955639183521271,0.00040660504600964487
6,base,"[-1, 1]",1.0,1,3,np,IS-NP,0.15,0.9763703346252441,0.28240966389421374,0.013386417180299759,6.516355642816052e-05
6,base,"[-1, 1]",1.0,1,3,np_fan_in,Fan-in NP,0.1,0.9855530858039856,0.26572849875471244,0.012927780859172344,3.418701817281544e-05
6,base,"[-1, 1]",1.0,1,3,np_fixed,Vanilla NP,0.3,0.9606419801712036,0.2367330258193154,0.012209396809339523,0.00010560380178503692
6,base,"[-1, 1]",1.0,1,3,wp,WP,0.225,0.8509035706520081,0.10894327924518923,0.09750288724899292,0.0004792695108335465
6,base,"[-1, 1]",1.0,1,4,np,IS-NP,0.15,0.13372381031513214,0.01309523509457904,0.017661074176430702,8.050491305766627e-05
6,base,"[-1, 1]",1.0,1,4,np_fan_in,Fan-in NP,0.1,0.14926265180110931,0.013477961122528843,0.015460834838449955,8.683509076945484e-05
6,base,"[-1, 1]",1.0,1,4,np_fixed,Vanilla NP,0.3,-0.04460614174604416,0.001391429668001365,0.01490870863199234,0.00010011106496676803
6,base,"[-1, 1]",1.0,1,4,wp,WP,0.225,0.13398446142673492,0.009007063593526255,0.10872729867696762,0.000553651771042496
6,base,"[-1, 1]",1.0,1,5,np,IS-NP,0.15,0.943101704120636,0.18165893750798812,0.00825527310371399,4.0474391425959766e-05
6,base,"[-1, 1]",1.0,1,5,np_fan_in,Fan-in NP,0.1,0.9721143245697021,0.19319064347170448,0.007420526817440987,2.00273407244822e-05
6,base,"[-1, 1]",1.0,1,5,np_fixed,Vanilla NP,0.3,0.9621976613998413,0.17959128442695751,0.007775347214192152,2.7586407668422908e-05
6,base,"[-1, 1]",1.0,1,5,wp,WP,0.225,0.7712416052818298,0.07473206298285125,0.06548658013343811,0.0002452435437589884
6,base,"[-1, 1]",1.0,1,6,np,IS-NP,0.15,0.9602033495903015,0.18196905902974927,0.009193144738674164,3.91911635233555e-05
6,base,"[-1, 1]",1.0,1,6,np_fan_in,Fan-in NP,0.1,0.9753852486610413,0.21994550390324244,0.008600136265158653,2.6122794224647805e-05
6,base,"[-1, 1]",1.0,1,6,np_fixed,Vanilla NP,0.3,0.9587122797966003,0.2060079672606662,0.009458105079829693,4.7814566642045975e-05
6,base,"[-1, 1]",1.0,1,6,wp,WP,0.225,0.7589027881622314,0.07706166302765875,0.07253795117139816,0.00037482433253899217
