seed,condition,condition_label,input_scale,checkpoint_epoch,method,method_label,cosine,variance,batch_variance,sigma,num_batches
2,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.8663558885455132,0.005692679202184081,4.8867037548916414e-05,0.15,8
2,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.6885067224502563,0.04232647130265832,0.000171389077877393,0.1,8
2,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.6957995072007179,0.04203216824680567,0.00017426964859623695,0.3,8
2,scaled,"[-5, 5]",5.0,240,wp,WP,0.5512240370735526,0.06371807213872671,0.00036433040077099577,0.225,8
3,base,"[-1, 1]",1.0,1,np,IS-NP,0.8014763221144676,0.009618761716410518,4.332012599661539e-05,0.15,8
3,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.8167860638350248,0.010055607242975384,4.164087772551284e-05,0.1,8
3,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.8179760724306107,0.009900139702949673,4.821982793146162e-05,0.3,8
3,base,"[-1, 1]",1.0,1,wp,WP,0.6117241084575653,0.07008296065032482,0.0003225356376788113,0.225,8
3,base,"[-1, 1]",1.0,120,np,IS-NP,0.9124184772372246,0.005174536578124389,2.9114699600540916e-05,0.15,8
3,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.9317076802253723,0.006029173848219216,3.6255696386433556e-05,0.1,8
3,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.9325825795531273,0.005991624144371599,3.121846202702727e-05,0.3,8
3,base,"[-1, 1]",1.0,120,wp,WP,0.6349128186702728,0.048649244010448456,0.00025315439052064903,0.225,8
3,base,"[-1, 1]",1.0,240,np,IS-NP,0.849010057747364,0.004720784840174019,2.8965666842850624e-05,0.15,8
3,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.8167630061507225,0.005725745751988143,3.831145090771315e-05,0.1,8
3,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.7738268841058016,0.005643452110234648,4.197646035208891e-05,0.3,8
3,base,"[-1, 1]",1.0,240,wp,WP,0.4623975586146116,0.04800213687121868,0.00025880412431433797,0.225,8
3,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.8644122704863548,0.00997233937960118,4.580077120408532e-05,0.15,8
3,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.5755737256258726,0.09794903732836246,0.0004097597520740237,0.1,8
